datetime,ip,name,ifIndex,status
2025-06-23 14:57:10,192.168.221.253,Router-AS,2,err
2025-06-23 14:57:10,192.168.200.200,Indihome,2,err
2025-06-23 14:57:17,192.168.221.253,Router-AS,2,err
2025-06-23 14:57:17,192.168.200.200,Indihome,2,err
2025-06-23 14:57:54,192.168.221.253,Router-AS,2,err
2025-06-23 14:57:54,192.168.200.200,Indihome,2,err
2025-06-23 14:58:06,192.168.221.253,Router-AS,2,err
2025-06-23 14:58:06,192.168.200.200,Indihome,2,err
2025-06-23 14:58:09,192.168.221.253,Router-AS,2,err
2025-06-23 14:58:09,192.168.200.200,Indihome,2,err
2025-06-23 15:00:16,192.168.221.253,Router-AS,2,err
2025-06-23 15:00:16,192.168.200.200,Indihome,2,err
2025-06-23 15:00:24,192.168.221.253,Router-AS,2,err
2025-06-23 15:00:24,192.168.200.200,Indihome,2,err
2025-06-23 15:06:47,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:06:47,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:06:47,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:06:47,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:06:47,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:06:47,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:06:47,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:06:47,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:06:47,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:06:47,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:06:47,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:06:47,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:06:47,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:06:47,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:10:38,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:10:38,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:10:38,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:10:38,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:10:38,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:10:38,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:10:38,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:10:38,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:10:38,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:10:38,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:10:38,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:10:38,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:10:38,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:10:38,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:10:43,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:10:43,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:10:43,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:10:43,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:10:43,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:10:43,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:10:43,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:10:43,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:10:43,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:10:43,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:10:43,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:10:43,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:10:43,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:10:43,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:10:51,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:10:51,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:10:51,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:10:51,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:10:51,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:10:51,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:10:51,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:10:51,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:10:51,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:10:51,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:10:51,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:10:51,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:10:51,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:10:51,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:29,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:29,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:29,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:29,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:29,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:29,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:29,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:29,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:29,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:29,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:29,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:29,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:29,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:29,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:35,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:35,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:35,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:35,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:35,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:35,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:35,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:35,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:35,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:35,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:35,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:35,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:35,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:35,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:38,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:38,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:38,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:38,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
